Timestamp,Host,Guest1,Guest2,Date of Recording,Show Summary,Memorable Quotes (please include at least one),Where was the show recorded?,Show RAW audio files,Episode Number,
2021-09-17 6:12 pm,Wunmi Adekanmbi,Kerry Harmer,,2021/09/17,"Kerry is a Maker Studio design specialist at Mount Royal University. On this show, we discussed the design process and its life applications, the role of design in innovation and how the Mount Royal University innovation ecosystem is preparing students for entrepreneurship and innovation and enriching the larger Calgary ecosystem.",We need design specialists. We also need design thinking to permeate every discipline. Design thinking brings out the creativity in everyone.,Online  - Zencastr,,136,
2021-09-22 3:41 pm,Peter Beaudoin,Tamara Loiselle,,2021/09/22,"Tamara Loiselle, CEO and Founder of Synergraze discusses how their technology has the potential to reduce methane emmissions from cattle by up to 90%. We also discuss her journey from the Foresight Cleantech accelerator to a game changing ERA grant of $5 million to scale their first-of-a-kind production facility. ",,Virtual,,139,
2021-09-24 5:40 pm,Patrick Wu,Luis Berumen,,2021/09/24,"Patrick Wu is a freelance graphic designer, UX designer, and marketing consultant with a background in biotechnology and life sciences commercialization. His career has taken him across a wide range of areas, from sales and marketing, government advocacy, ecosystem development, and now design. Since 2016, he has since been an active member in the Rainforest community, advocating for technology, innovation, and life sciences in Alberta.

Luis is a Calgary based UX Designer with almost two decades of product design experience in Latin America, North America, and Europe. He has had the pleasure of working for enormous corporations, governments, and small start-ups, and most recently took on the role of managing the Calgary UX Meetup.  Luis believes that Calgary is a city working hard on redesigning itself and diversifying its economy, and wants to be part of this change and leaving something positive for the UX professionals in the community.",,Zencastr Online,,138,
2021-09-30 4:49 pm,Al Del Degan,Navin Jetha,,2021/09/30,Navin was educated in computer science and worked in that field for more than a decade before getting laid off.  She then found a new career in fitness leadership educating people in various forms of exercise from water fitness classes to yoga.  Now she is pivoting back into tech and viewing it through the lens of physical and mental health. ,,Zencastr,,140,
2021-10-03 7:50 am,Peter Beaudoin,Yohana Tesfamariam Tekeste,,2021/10/01,Peter talks with Yohana Tesfamariam Tekeste about her work with small scale farmers in Africa and how weather based index insurance is being used as a climate adaptation tool against severe drought. ,,Virtual,,141,
2021-10-31 2:47 pm,Al Del Degan,Robert Herritt,,2021/10/30,"Did you know that less than 2% of polystyrene products are recycled even though they are among the most easily recycled plastics?  Robert Herritt shares his story about learning how easily Styrofoam can be recycled into new products, avoiding the landfill.  We also learn how municipalities have not been eager to get involved, even though is is the right thing to do.",,Zoom,,142,
2021-10-14 8:42 am,Peter Beaudoin,Paolo Bomben,,2021/10/13,Peter Beaudon discusses with Paolo Bomben the opportunity for carbon fibre  made from Alberta's bitumen.  We discuss how Canada's carbon fibre market could becaome a pan-Canadian opportunity building on our regional strengths – Ontario’s manufacturing and Alberta’s resource production.,,virtual,,143,
2021-11-11 4:24 pm,Wunmi Adekanmbi,Aaron Russel,,2021/11/11,"Aaron is a visual scribe and digital storyteller. We talked about Art as Innovation. How visual storytelling can be applied to solve complex wicked problems. And what's possible in Alberta if we can create, through visual facilitation, an environment where everyone is heard and understood.","1. Creating for its own sake is as important as creating to solve problems.
2. Art makes complex information more digestible, more memorable, more fun.
3. Art makes good things great.",Zencastr,,144,
2021-11-03 2:38 pm,Peter Beaudoin,Liz Nilsen,,2021/10/27,Peter Beaudoin discussed with Liz Nilsen how Strategic Doing can be used to support the Alberta innovation ecosystem,,virtual,,145,
,Al Del Degan,Ross Plattel,,2021/11/26,"Ross Plattel is a really interesting guy.  He is involved in a lot of different things, many of which involve giving back as a volunteer.  He is into technology, urban planning and smart cities.  He knows a whole lot about many things, and in this episode Al Del Degan explore the Internet of Things, education, city planning and much more. ","""A lot of the architecture firms had no idea what I was talking about. I even asked them about, uh, VR and augmented reality integration within their design processes. And there was one firm that said like, oh yeah, we have like a computer. We couldn't get working in the back room. And we don't think it's going to be a big thing.""

""When you have a sensor that's embedded inside of a concrete wall, it's not really that easy to fix, but at least it gives five years that they can monitor what that's looking like.""

""And also we're noticing in university with teaching online that the introverts are the ones that are doing better in the online environment. And it's the extroverts that are having a really hard time.""",Online  - Zencastr,,146,
2021-12-06 8:44 pm,Al Del Degan,Danielle Barker,,2021/12/04,"Danielle has been through a lot, but she has always had a passion for computer programming.  Not making it through traditional means, she had given up on her plans until the end of the road lead her right to the InceptionU Full Stack Developer program.","I lost my, my job as a school bus driver. That was my last job I had. Kind of just a bunch of other bad things happened at the same time and just kind of hit this point where I just wanted to give up, so I didn't want to go find another job. So I just ended up, taking what money I had and buying a van, and I just lived in the van for six months.",Zencastr Online,,147,
2021-12-13 6:46 am,Peter Beaudoin,Amy Henry,,2021/12/10,"Interested in field piloting your technology with a global energy player, then listen in to Peter Beaudoin's interview with Amy Henry, the CEO of Eunike Ventures as they discuss the opportunity for Canadian companies to work with global customers through this Houston based accelerator. ",,virtual,,148,
2021-12-19 7:9 pm,Al Del Degan,Myles Shedden,,2021/12/18,"Coming from a career in finance with Investment Banking and then being coerced into joining the massively successful Skip the Dishes, by one of their founders, Myles Shedden learned a lot about how to scale a business.  Also that it is quite different from starting one.  His new company, Chroma was created to solve a big problem in a very unserved market, that of Renters.  Learn how Myles things he may just have a great solution for those who don't yet own their own home and have to deal with monthly rent payments.","""...the reality is with housing, price increases, outpacing income growth. It looks like home ownership might not be a reality or not as, as soon for a lot of different people in different families. And we want to play a role in, in trying to at least make rent more convenient, flexible and rewarding experience. ""

""For anyone who's on the ground floor of technology in Alberta, something very, very exciting is happening.""",Zencastr,,149,
,Lindsay Skabar,Amanda Hehr,,2021/12/21,"50 year old Sunterra Group is putting the finishing touches on a 20 acre high-tech greenhouse in Acme Alberta to locally grow juicy strawberries and four types of tomatoes.  Amanda Hehr has a lot to say about AgTech thriving in Alberta and how much more needs to be accomplished to take advantage of one of the sunniest places on earth.

https://rdar.ca/","""So 90% of what you see on grocery store shelves between the months of October and April, you're getting from many, many thousands of miles away by plane, by boat, by truck.""

""We're we're using almost no inputs at all. So what we're providing is this very helpful product that has had very little intervention in terms of chemical intervention. Almost none. We use good bugs to fight bad bugs instead of using herbicides and pesticides to spray."" ",Online  - Zencastr,,150,
,Al Del Degan,N/A,,2022/01/02,Al talks about his favorite episodes from 2021,,N/A,,151,
,Al Del Degan,Darren Machalek,,2022/01/09,"From warehouse worker to junior developer to senior technology leader to video game developer, Darren Machalek has had an incredible career journey. Learning that there is more to life than money, Darren inspires us to look at passion above experience when you want to hire good people.","""I love creativity, creative aspects. I love being a programmer. I love business. Like I learned so much about business and I'm PMP certified. I love projects. There must be a career out there that does all this. And sure enough, there is... video games""

""Nowhere did I recoup the costs that it took for my personal time. If I did the math on how much I spent, like personal time on it, I would have made about a dollar an hour. So I could go get a minimum wage job and still make, you know, 15 times more than I would as a game developer.""
",Online  - Zencastr,,152,
2022-01-09 12:1 am,Lori Farley,Afton Brazzoni,,2022/01/07,"Scribe National founder, Afton Brazzoni, shares how storytelling and journalism, twists and turns, and no plans for entrepreneurship, led to the creation of a successful content writing studio supporting B2B technology companies with messaging and content strategy. Afton also shares her thoughts on resources for woman entrepreneurs, her experiences and ideas for excellence, and information on trends such as the concept of dark social or private online communities, along with resources she makes readily available.
","""When someone can come in knowing their mission, their vision and their values, that's really all we need them to have for us to kind of go ahead and start developing a brand personality for that brand voice and a brand story.""

""Entrepreneurial spirit and creativity really go hand in hand.""",Online - Calgary,,153,
2022-01-23 10:42 pm,Al Del Degan,Ross Lockwood,,2022/01/22,"Ross Lockwood is a fascinating guy.  He spent four months on Mars... well not literally, and has a PHD in Condensed Matter Physics.  Ross believes in focusing on what interests you until you are pretty good at it, then switching to something else.  Ross is proof that all your interests can build upon each other and open doors that you may not have known of before.","""I figured I'll take a general science approach and I got to university, I took my first physics course and I said, I'm not going to be a doctor anymore. At least I'm not going to be a medical doctor. And I went on the full steam physics path, starting right after my first year undergraduate.""

""so this HI-SEAS simulation is actually like a Mars habitat that's been built out on the mountain side of the Mauna Loa volcano in Hawaii. And they have been running studies since roughly 2012, um, in conjunction with the University of Hawaii and NASA, who provides funding, to do Mars ground simulations""

""at the end of my physics career, I was like, you know what, I've kind of reached the end of what I consider physics to be. I could go into research and I could narrow my focus even further, but it never felt right to me to confined myself to that box""",Online - Zencastr,,154,
2022-01-31 5:31 pm,Lindsay Skabar,Kwame Asiedu,,2022/01/24,Kwame Asiedu of Brain Toy shares how Artificial Intelligence is going to change the world. It is his goal to make AI in Canada and the world more accessible and easier to implement. ,We need to reduce the stigma around AI. It is our future. ,Zencastr / Calgary,,155,
2022-01-31 5:23 pm,Adam Casole-Buchanan,Hanan Chebib,,2022/01/27,"Hanan has worked across corporate events and tech industries, always looking for the next project she could tackle and complete, which she quips as always on the lookout for her next “mechanical, fire breathing Octopus” - a callback to an impossible project she took on. We had an enlightening conversation about the attrition rate of women in the tech-industry, how role-models are significant to stimulate growth, and how mentors play a role in guiding an industry. Hanan now works at https://thechicgeek.ca/ , a Calgary-based non-profit building a welcoming, supportive community for women in tech.","""A lot of the research that we have done shows that 2x more women are leaving tech than men - and that's primarily women in their mid-career.""

""I recognize how important it is to have people advocating for you, and who want to see you succeed, be part of your professional life"" 

""If we know that women don't see themselves in higher levels of the company - and if we can provide a mentor...that's a huge gain.""",Zencastr / Calgary,,156,
